preferredLabel,altLabels,skillType,reuseLevel,description,broaderConceptPT
corporate social responsibility,corporate conscience | CSR | corporate citizenship | sustainable responsible business | social performance | responsible business | corporate social responsibility | collective civil responsibility,knowledge,sector-specific,The handling or managing of business processes in a responsible and ethical manner considering the economic responsibility towards shareholders as equally important as the responsibility towards environmental and social stakeholders.,management and administration
manage animal welfare,"plan measures for animal welfare needs | manage animal welfare needs | monitor animal welfare needs | plan application of animal welfare needs | manage the health and welfare of animals | be aware of animal welfare requirements | manage animal welfare | be aware of animal welfare requirement | oversee animal welfare | plan, manage and evaluate animal welfare needs",skill/competence,sector-specific,"Plan, manage and evaluate the application of the five universally recognised animal welfare needs as appropriate to species, situation and own occupation.",oversee animal management | follow safety precautions in work practices | tending and breeding animals
apply procedures and regulations for eco-labelling,,skill/competence,sector-specific,"Identify, select and apply procedures and regulations to verify the compliance of specific requirements of EU eco-labelling.  ","monitoring, inspecting and testing | ensure correct goods labelling"
advise on sustainable management policies,encourage sustainable management | promoting sustainable management | promote sustainable management | advocate sustainable management,skill/competence,cross-sector,"Contribute to planning and policy development for sustainable management, including input in environmental impact assessments.",advising on environmental issues | adopt ways to reduce negative impact of consumption | promote sustainability
natural areas maintenance,methods for natural areas maintenance | natural areas maintenance | maintenance of natural areas | management methods for natural areas | management regimes for natural areas | regimes for managing natural areas | techniques for natural areas maintenance | management techniques for natural areas,knowledge,sector-specific,"The methods to maintain the assets (both natural and constructed) of natural areas, including program development and implementation.",natural environments and wildlife
types of wind turbines,types of aero-generator | kinds of aero generator | horizontal wind turbine | typology of wind turbines | types of wind turbines | typology of aero generators | types of aero generator | kinds of wind turbine | vertical wind turbine | wind turbine types,knowledge,cross-sector,"The two main types of wind turbines, namely those which rotate along a horizontal or those which rotate along a vertical axis, and their subtypes. The properties and uses of each.",electricity and energy
sustainable agricultural production principles,scope of organic agricultural production conditions | conditions for organic agricultural production | conditions of organic agricultural production | conditions for sustainable agricultural production | agricultural production principles | principles for organic agricultural production | scope of organic agricultural production principles | principles of organic agricultural production,knowledge,sector-specific,Principles and conditions of organic and sustainable agricultural production.,crop and livestock production
drain hazardous liquids,hazardous liquids removing | hazardous liquids draining | hazardous liquid removing | removing hazardous liquids | drain hazardous liquids | remove hazardous liquids | draining hazardous liquids | hazardous liquid draining,skill/competence,sector-specific,"Drain substances which pose health and safety risks from equipment, appliances or installations in order to store the liquids according to safety guidelines and dispose or treat them as required.",handling and disposing of hazardous materials
implement sustainable procurement,socially responsible public procurement | green public procurement,skill/competence,sector-specific,"Incorporate strategic public policy goals into procurement procedures, such as green public procurement (GPP) and socially responsible public procurement (SRPP). Contribute to reducing the environmental impact of procurement, to achieving social goals and to improving value for money for the organisation and for society at large.",promote sustainability
develop water purification methods,water purification strategies developing | water purification methods developing | develop water purification methods | developing water purification strategies | developing water purification methods,skill/competence,cross-sector,"Develop strategies for the development and use of water purification equipment and plans, by aiding in the design of equipment, planning purification procedures, and identifying the necessary actions and potential risks.","designing industrial materials, systems or products | develop strategy to solve problems"
prevent sea pollution,pollution at sea prevention | regulations for pollution prevention at sea applying | pollution of sea preventing | preventing pollution of sea | applying pollution prevention at sea regulations | preventing pollution at sea | prevent pollution of sea | apply the regulations for pollution prevention at sea | applying the regulations for pollution prevention at sea | pollution at sea preventing | apply pollution prevention at sea regulations,skill/competence,sector-specific,Organize and monitor environment protection applying the regulations for pollution prevention at sea.,complying with environmental protection laws and standards
develop flood remediation strategies,writing flood remediation strategies | flood remediation strategies writing | flood remediation strategy writing | flood remediation strategies developing | write flood remediation strategies | developing flood remediation strategies | flood remediation strategy developing | develop flood remediation strategies,skill/competence,cross-sector,"Develop plans and design equipment for the prevention of floods and efficient aid in the event of a flood, by assessing the risks, identifying improvements in existing strategies, and designing new strategies in flood remediation.",developing contingency and emergency response plans | develop strategy to solve problems
soil structure,characteristics of soil structure | diversity of soil structure | typology of soil structure | soil structure | typology of soil components | characteristics of soil components | range of soil components | types of soil components | range of soil structure | types of soil structure | diversity of soil components,knowledge,sector-specific,Diversity of soil elements and types of soil in relation to plant growth.,crop and livestock production
ecotourism,,knowledge,sector-specific,"The practice of sustainable travel to natural areas that conserve and support the local environment, fostering environmental and cultural understanding. It usually involves the observation of natural wildlife in exotic natural environments.",environmental sciences
energy storage systems,super capacitors | battery types,knowledge,cross-sector,"The systems to capture the energy produced at one time for use at a later time. This includes the differences between the main battery types, super capacitors and hydrogen or fuel tanks.",electricity and energy
beverages filtration processes,beverages filtration process | beverages filtration procedures | beverages filtration systems | beverages filtration mechanisms | beverages filtration processes | beverage filtration process | beverages filtration measures | beverage filtration processes,knowledge,sector-specific,"Safe and economic method for removing impurities from food products and extending its shelf life. Importance of contamination control and how it contributes to superior quality product, a significant reduction of waste and a minimum of product spoilage.",processes of foods and beverages manufacturing | food processing | food and beverage industry | beverages production process
maintain plant soil nutrition,ensure nutrition of plant soil | plant soil nutrition ensuring | ensure plant soil nutrition | maintain nutrition of plant soil | maintaining plant soil nutrition | ensuring plant soil nutrition | maintaining nutrition of plant soil | ensuring nutrition of plant soil | plant soil nutrition maintaining | maintain plant soil nutrition,skill/competence,sector-specific,Manage and support overall soil nutrition. Practice sustainable gardening techniques and integrated pest management in gardens both outdoor and indoor.,cultivating land and crops
oceanography,the study of oceans | oceans studies | oceanography,knowledge,cross-sector,"The scientific discipline that studies oceanic phenomena such as marine organisms, plate tectonics, and the geology of the ocean bottom.",Earth science | earth sciences
pest management techniques,pest management techniques | techniques to manage pests | pest management methods | extermination methods | pest management technique | extermination techniques,knowledge,occupation-specific,"Techniques and measures used to prevent unwanted pests in houses, buildings and their surroundings by preventing access or by deploying other techniques such as wood protection and bird management devices.",crop and livestock production
bicycle sharing systems,PBS schemes | bike sharing | public bicycle schemes,knowledge,cross-sector,The different public and private services offering bicycles to individuals for their short term use based against the payment of a price or a fee.,transport services
environmental legislation,environmental regulations | environmental legislation | environmental law | environment legislation | legislation of the environment,knowledge,cross-sector,The environmental policies and legislation applicable in a certain domain.,law
dispose medical waste,apply appropriate waste disposal measures | dispose medical waste | carry out appropriate waste disposal | apply appropriate waste disposal techniques | dispose of medical waste,skill/competence,cross-sector,"Carry out the appropriate technique to safely dispose all types of medical waste such as infective, toxic and radioactive waste.",handling and disposing of hazardous materials | dispose waste
ensure correct goods labelling,ensure correct labelling of goods | ensure correct goods labeling | secure correct goods labelling | ensure the labelling of goods correctly | assure correct goods labelling | establish correct goods labelling | maintain correct goods labelling,skill/competence,sector-specific,"Ensure that goods are labeled with all necessary labeling information (e.g. legal, technological, hazardous and others) regarding the product. Ensure that labels respects the legal requirements and adhere to regulations.","monitoring, inspecting and testing | place record labels"
forest conservation,practices of forest management | methods of forest management | techniques for forest management | methods of forest conservation | techniques for forest conservation | practices of forest conservation | forest conservation,knowledge,cross-sector,Understand forest conservation: the practice of planting and maintaining forested areas.,agroforestry | forestry
develop food policy,establish food policy | develop food policy | launch food policy | evaluate food policy | produce food policy | develop a food policy | develop food policies,skill/competence,sector-specific,"Participate in the decision-making around production and processing techniques, marketing, availability, utilization and consumption of food, in the interest of meeting or furthering social objectives to influence the operation of the food and agriculture system. Food policymakers engage in activities such as regulation of food-related industries, establishing eligibility standards for food assistance programs for the poor, ensuring safety of the food supply, food labeling, and even the qualifications of a product to be considered organic. ",develop product policies | follow an environmental friendly policy while processing food | developing policies and legislation
impact investing,,knowledge,sector-specific,"Investment strategy aimed at investing in organisations or initiatives with a social or environmental outlook, which in turn generates financial gains but also a positive impact in society.","finance, banking and insurance"
compare alternative vehicles,evaluate emissions of vehicles | compare vehicles performance | evaluate vehicles performance,skill/competence,sector-specific,Compare the performance of alternative vehicles based on factors such as their energy consumption and the energy density per volume and per mass of different fuels employed.,testing electrical and mechanical systems or equipment 
dismantle broken appliances,wreck dismantling | wrecks breaking up | dismantle broken appliances | brealing up wrecks | broken appliances dismantling | break up wrecks | wrecks dismantling | dismantling wrecks,skill/competence,sector-specific,"Dismantle equipment and appliances which are broken and ineligible for repair so that their separate components can be sorted, recycled, and disposed of in a manner which is compliant with waste and recycling legislation.",repairing and installing mechanical equipment
water consumption,consuming of water | water conservation | conservation of water | consumption of water | water consumption | efficient water use | consuming water | efficient use of water,knowledge,occupation-specific,"The factors which are involved in the calculation and estimation of water consumption in a residence or facility, and methods in which water consumption can be lowered or made more efficient.",community sanitation
use sustainable materials and components,,skill/competence,cross-sector,"Identify, select environmentally friendly materials and components. Decide on the substitution of certain materials by the one that are environmentally friendly, maintaining the same level of functionality and other characteristics of the product.",complying with environmental protection laws and standards
plant species,range of plant families and species | range of flora | types of plant families and species | plant species | characteristics of plant families and species | typology of flora | characteristics of flora | types of flora | variety of plant families and species | typology of plant families and species | variety of flora,knowledge,sector-specific,"The variety of plants, trees and shrubs and their special characteristics. ",biology
manage waste,manage waste | waste disposing | managing waste | waste managing | dispose of waste,skill/competence,sector-specific,"Manage or dispose of significant amounts of waste materials or hazardous materials. Ensure required licenses and permits are in place and reasonable management practices, industry standards, or commonly accepted farming practices followed.",handling and disposing of waste and hazardous materials
design an electric heating system,design electric heating system,skill/competence,sector-specific,Design the details of electric heating systems. Calculate the needed capacity for space heating under given conditions complying with available electrical power supply.,designing systems and products
understand fresh water ecosystems,understanding fresh water ecosystems | knowing about fresh water ecosystems | fresh water ecosystems knowing about | knowing about ecosystems of fresh water | know about ecosystems of fresh water | understand fresh water ecosystems | understand ecosystems of fresh water | understanding ecosystems of fresh water | know about fresh water ecosystems | fresh water ecosystems understanding,knowledge,sector-specific,Understand fresh water ecosystems.,fisheries
operate steam turbine,tending steam turbine | operating steam turbine | steam turbine tending | tend steam turbine | steam turbine operating | operate steam turbine,skill/competence,sector-specific,"Operate equipment which uses thermal energy, extracted from pressurised steam, to generate rotary motion. Ensure that the turbine is balanced, and operates according to safety regulations and legislation, by monitoring the equipment during operations.",operating energy production or distribution equipment
pollution prevention,pollution prevention | regulations for pollution prevention | International Convention for the Prevention of Pollution from Ships | requirements for pollution prevention | legislation covering pollution prevention | MARPOL,knowledge,cross-sector,"The processes used to prevent pollution: precautions to pollution of the environment, procedures to counter pollution and associated equipment, and possible measures to protect the environment.",environmental protection technology
monitor disposal of radioactive substances,manage disposal of radioactive substances | monitor disposal of a radioactive substance | monitor disposal of radioactive substances | supervise correct disposal of radioactive substances | oversee disposal of radioactive substances | monitor the disposal of radioactive substances,skill/competence,cross-sector,"Ensure correct management and disposal of radioactive substances used for medical purposes, in compliance with established procedures.",handling and disposing of hazardous materials
support local tourism,,skill/competence,sector-specific,Promote local products and services to visitors and encourage the use of local tourism operators in a destination.,providing support to resolve problems
educate people about nature,educate people about nature | orally educate people about nature | speak to educate people about nature | communicate with people about nature | educate people on nature,skill/competence,sector-specific,"Speak to a variety of audiences about e.g. information, concepts, theories and/or activities related to nature and its conservation. Produce written information. This information may be presented in a range of formats e.g. display signs, information sheets, posters, website text etc.",instruct others | coaching and mentoring
wildlife,"equipment for wildlife capture | wildlife capture | wildlife | handling of wildlife | capturing wildlife | typology of wildlife, range of wildlife | types of wildlife",knowledge,sector-specific,"Undomesticated animal species, as well as all plants, fungi and other organisms that grow or live wild in an area without being introduced by humans. Wildlife can be found in all ecosystems such as deserts, forests, rain forests, plains, grasslands and other areas including the most developed urban areas, all have distinct forms of wildlife. Handling of wildlife capture equipment.",natural environments and wildlife
analyse environmental data,analysing environmental data | review environmental data | examine environmental data | evaluate environmental data | analyze  environmental data | inspect environmental data | survey environmental data,skill/competence,sector-specific,Analyse data that interpret correlations between human activities and environmental effects.,"process qualitative information | use data processing techniques | inspect data | analysing scientific and medical data | manage quantitative data | interpret current data | evaluate data, information and digital content | analyse test data | analyse scientific data"
monitor composting,overseeing composting | oversee composting | monitor composting | monitoring composting | composting overseeing | composting monitoring,skill/competence,occupation-specific,Mix the biodegradable materials respecting the appropriate proportion and monitor the degradation process of organic waste.,preparing mixtures or solutions
provide information on solar panels,providing information on solar panels | giving information on solar panels | give information on solar panels | solar panels information providing | solar panels information giving | provide information on solar panels | solar panel information providing | solar panel information giving,skill/competence,cross-sector,"Provide organisations and individuals searching for alternative methods to provide facilities and residences with energy on the costs, benefits, and negative aspects of the installation and use of solar panels, and what one must take into account when considering the purchase and installation of solar systems.",advise others | provide information
smart grids systems,smart grids,knowledge,sector-specific,"Smart grids are a digital electricity network. The system involves the electronic digital control of production, distribution and use of electricity, information management of the components and energy saving.",electricity and energy
design offshore energy systems,design marine energy systems | specify offshore energy systems | design ocean energy systems,skill/competence,sector-specific,"Develop design specifications for offshore energy systems and their components, ensuring that the design is optimised to ensure safe and efficient production of energy. Create checklists for the inspection and monitoring of completed offshore installation projects.","designing industrial materials, systems or products"
apply transportation management concepts,apply transportation management concepts | improve transportation processes through application of management concepts | improve transportation processes through application of management principles | employ transport industry management principles | apply transport management concepts | apply transport management principles | implement transport industry management concepts | apply principles of transportation management | apply concepts of transportation management | apply transportation management principles | employ transport industry management concepts | implement transport industry management principles | apply concepts of transport management,skill/competence,sector-specific,"Apply transport industry management concepts in order to improve transportation processes, reduce waste, increase efficiency, and improve schedule preparation.",following instructions and procedures | manage company transport strategy
nurse plants,tending plants | plant and tree tending | nurse plants | nursing plants and trees | plant tending | plant nursing | tend plants and trees | nursing plants | nurse plants and trees | tending plants and trees | plant and tree nursing | tend plants,skill/competence,sector-specific,"Determine the need for nursing activities and carry out nursing by cultivating, maintaining, watering and spraying the plants and trees manually or using appropriate equipment, taking into account the plant species and following safety requirements.",cultivating land and crops
prevent kiln loss of heat,preventing loss of kiln heat | prevent kiln loss of heat | avoiding loss of kiln heat | kiln loss of heat preventing | avoid loss of kiln heat | preventing kiln loss of heat | prevent loss of kiln heat,skill/competence,occupation-specific,Prevent the waste of heat by sealing the kiln door with bricks and clay.,"operating kilns, furnaces and drying equipment"
environmental impact of tourism,effects of the environment on tourism | environment and its impact on tourism | impact of environment on tourism | environmental impact of travel activities | environmental impact of tourism,knowledge,sector-specific,The study of the environmental impact of travel and tourist activities on tour destinations.,"travel, tourism and leisure"
types of wave energy converters,types of WEC,knowledge,sector-specific,"Different types of devices to exploit wave power, such as point absorber buoys, surface attenuators, oscillating wave surge converters, overtopping devices, or submerged pressure differential converters.",electricity and energy
engage others in environment friendly behaviours,inform about sustainability | promote sustainability | advocate sustainability | encourage others to respect the environment | promote environmental friendly behaviours,skill/competence,transversal,Inform about and promote environmental friendly behaviours in social networks and at work.,applying environmental skills and competences
educate on sustainable tourism,,skill/competence,sector-specific,"Develop educational programmes and resources for individuals or guided groups, to provide information about sustainable tourism and the impact of human interaction on the environment, local culture and natural heritage. Educate travellers about making a positive impact and raise awareness of environmental issues.",coaching and mentoring
provide information on wind turbines,wind turbines information giving | giving information on wind turbines | provide information on wind turbines | give information on wind turbines | wind turbine information providing | providing information on wind turbines | wind turbines information providing | wind turbine information giving,skill/competence,sector-specific,"Provide organisations and individuals searching for alternative energy methods on the cost, benefits, and negative aspects of the installation and use of wind turbines, both residential and common, and what one must take into account when considering the implementation of wind turbine technology.",provide information
agroforestry,agro-silvopastoral systems | silvo-pastoral systems | agri-silvicultural systems,knowledge,sector-specific,The application of land management systems and technologies that integrate trees and other woody perennials with traditional cropland farming in order to sustain agricultural production while ensuring the protection of the natural environment.,forestry
environmental threats,medical threats from radiological hazards | environmental threats | medical threats from chemical hazards | medical threats from nuclear hazards | medical threats from biological hazards | medical threats from physical hazards | environmental health threats | medical environmental threats,knowledge,sector-specific,"The threats for the environment which are related to biological, chemical, nuclear, radiological, and physical hazards.",environmental sciences
test samples for pollutants,conduct of sample analysis | conducting sample analysis | carrying out of sample analysis | testing of samples for pollutants | measure pollutants in samples | test samples for pollutants | carrying out sample analysis | measuring pollutants in samples | sample analysis conduct | pollutant testing of samples | testing samples for pollutants | conducting of sample analysis | sample testing for pollutants | carry out sample analysis,skill/competence,sector-specific,Measure concentrations of pollutants within samples. Calculate air pollution or gas flow in industrial processes. Identify potential safety or health risks such as radiation.,perform sample testing | measure pollution | testing and analysing substances
types of photovoltaic panels,typology of photovoltaic cells | types of PV panels | types of PV panel | typology of photovoltaic panels | types of photovoltaic panels | PV panel types | typology of PV cells | types of PV cell | types of PV cells | PV cell types | types of photovoltaic panel | photovoltaic cell types | types of photovoltaic cell | photovoltaic panel types | typology of PV panels,knowledge,cross-sector,"Different types of photovoltaic cells and panels, with different efficiencies in different types of weather, costs, durability and lifespan ratings, and mounting possibilities.",electricity and energy
pest biology,pest biology | study of the biological aspects of pests | biology of pests,knowledge,occupation-specific,Biological characteristics of insect and rodent pest and their influence on choosing a pest management method.,biology
artificial lighting systems,artificial light and power consumption,knowledge,sector-specific,"Types of artificial lighting and their power consumption. HF fluorescent lighting, LED lighting, natural daylight and programmed control systems allow an efficient use of energy.",electricity and energy
lean manufacturing,business excellence | total productive maintenance | PDCA | ACE achieving competitive excellence | WCM world class manufacturing | manufacturing excellence | operational excellence | process excellence,knowledge,cross-sector,Lean manufacturing is a methodology that focuses on minimizing waste within manufacturing systems while simultaneously maximizing productivity.,management and administration
provide training in sustainable tourism development and management,,skill/competence,sector-specific,"Deliver training and capacity building for staff working in the tourism industry to inform them about best practices in developing and managing tourist destinations and packages, while ensuring a minimum impact on the environment and local communities and strict preservation of protected areas and fauna and flora species.",training on operational procedures | carry out training in environmental matters
inspect trees,check and survey trees | inspect and survey trees | tree checking | inspecting and surveying trees | inspect trees | tree inspecting and surveying | inspecting trees | checking trees | tree checking and surveying | tree inspecting | checking and surveying trees | check trees,skill/competence,cross-sector,Carry out tree inspections and surveys.,monitoring environmental conditions
energy efficiency,"reduce use of energy | science of energy efficiency | promote energy efficiency | conservation of energy | energy saving, saving energy | energy conservation | energy efficiency | efficient energy use",knowledge,sector-specific,"Field of information concerning the reduction of the use of energy. It encompasses calculating the consumption of energy, providing certificates and support measures, saving energy by reducing the demand, encouraging efficient use of fossil fuels, and promoting the use of renewable energy.",electricity and energy
provide agri-touristic services,agri-touristic services providing | deliver agri-touristic services | provide agri-touristic services | agri-touristic service providing | agri-touristic service delivering | delivering agri-touristic services | agri-touristic services delivering | providing agri-touristic services,skill/competence,sector-specific,"Provide services for agri-tourism activities on the farm. This may include providing B &amp; B services, small scale catering, supporting agri-tourism activities and leisure such as riding, locally guide tours, giving information on farm production and history, selling of small-scale local farm products.",selling products or services
maintain concentrated solar power systems,repair concentrated solar power systems | concentrated solar power system maintaining | concentrated solar power system repairing | repairing concentrated solar power systems | maintaining concentrated solar power systems | concentrated solar power systems repairing | concentrated solar power systems maintaining | maintain concentrated solar power systems,skill/competence,sector-specific,"Perform routine maintenance as well as repairs on systems which use reflective materials, such as lenses and mirrors, and tracking systems to concentrate sunlight into a beam, which powers an electrical power plant through its heat generation.","maintaining electrical, electronic and precision equipment"
manage fisheries projects,run marine conservation projects | manage fisheries protection projects | manage marine conservation projects | marine conservation projects managing | marine conservation projects running | fisheries projects managing | managing fisheries projects | manage fisheries projects | running marine conservation projects | managing marine conservation projects,skill/competence,sector-specific,Consult with contractors from both the governmental and private sectors in fisheries projects such as restoration efforts. Go over the proposed plans and provide expertise. Prepare applications for fisheries program grants. Provide technical assistance to civic fisheries projects. Study the impact of environmental changes on waters. Resolve complaints from the public. Prepare prescriptions to identify fisheries problems and recommend solutions.,"perform project management | directing, supervising and coordinating projects"
perform environmental remediation,perform environmental remediation | environmental remediation carrying out | carry out environmental remediation | environmental remediation performing | performing environmental remediation | carrying out environmental remediation,skill/competence,sector-specific,"Carry out activities which ensure the removal of sources of pollution and contamination from the environment, in compliance with environmental remediation regulations.",adopt ways to reduce pollution | ensure compliance with environmental legislation | complying with environmental protection laws and standards
design wind farm collector systems,designing wind farm collector systems | wind farm collector systems specifying | specify wind farm collector systems | wind farm collector systems designing | specifying wind farm collector systems | design wind farm collector systems,skill/competence,sector-specific,"Design systems which interconnect individual wind turbines on a wind farm and collect the energy and transfer it to a substation, which will allow for the transmission of the generated electrical energy, ensuring that the system connects the turbines to each other and the substation in a safe and efficient manner.","designing industrial materials, systems or products"
advise on heating systems energy efficiency,heating systems energy efficiency advice giving | heating systems energy efficiency advising | advise on heating systems energy efficiency | advising about heating systems energy efficiency | advising on heating systems energy efficiency | giving advice on heating systems energy efficiency | give advice on heating systems energy efficiency,skill/competence,cross-sector,Provide information and advice to clients on how to preserve an energy efficient heating system in their home or office and possible alternatives.,advising on products and services | advise on efficiency improvements | advise others
develop recycling programs,establish recycling programs | produce recycling programs | launch recycling programs | developing a recycling programs developing recycling programs | develop a recycling program | develop recycling programs | evaluate recycling programs,skill/competence,sector-specific,Develop and coordinate recycling programs; collect and process recyclable materials in order to reduce waste.,developing operational policies and procedures
follow health and safety procedures in construction,apply H&S procedures in construction | following construction health and safety procedures | following of health and safety procedures in construction | applying construction health and safety procedures | following of construction health and safety procedures | following H&S procedures in construction | applying health and safety procedures in construction | following health and safety procedures in construction | follow H&S procedures in construction | follow health and safety procedures in construction | application of construction health and safety procedures | applying H&S procedures in construction | application of health and safety procedures in construction,skill/competence,cross-sector,"Apply the relevant health and safety procedures in construction in order to prevent accidents, pollution and other risks.",complying with health and safety procedures
green bonds,sustainability bonds,knowledge,sector-specific,The financial instruments traded in financial markets that aim at raising capitals for projects with specific environmental benefits.,"finance, banking and insurance"
replace defect components,defect component replacing | defective component removing | replace defect components | remove defective components | replacing a defect component | replacing defect components | defect components replacing | defective components removing | removing a defective component | removing defective components,skill/competence,cross-sector,Remove defective parts and replace them with functioning components.,repair electronic components | working with machinery and specialised equipment | replace defective devices
carry out energy management of facilities,energy management of facilities carrying out | undertaking energy audit of facilities | undertake energy audit of facilities | carry out energy management of facilities | carrying out energy management of facilities | carrying out energy audit of facilities,skill/competence,cross-sector,Contribute to develop effective strategies for energy management and making sure that these are sustainable for buildings. Review buildings and facilities to identify where improvements can be made in energy efficiency.,adopt ways to reduce negative impact of consumption | designing structures or facilities
conduct airport environmental studies,prepare and implement environmental studies for airports | undertake airport environmental studies | undertake environmental studies for airports | conduct environmental research for airports | conduct airport environmental studies | perform airport environmental studies | conduct research into environmental impact of airport operations | carry out airport environmental studies | conduct environmental studies for airports,skill/competence,sector-specific,"Prepare and conduct environmental studies, air quality modelling, and land use planning studies.",conducting academic or market research
conduct erosion control,conducting of erosion control | manage erosion control | management of erosion control | conducting erosion control | conduct erosion control | erosion control management | erosion control conduct | managing erosion control | conduct of erosion control,skill/competence,sector-specific,Manage erosion control processes and projects. Plan erosion control actions to control or prevent erosion from occurring and avoid water pollution or soil loss.,complying with environmental protection laws and standards
identify new recycling opportunities,classify  new recycling opportunities | determine  new recycling opportunities | analyse  new recycling opportunities | identify a new recycling opportunity | identify new recycling opportunities | diagnose  new recycling opportunities | identifying new recycling opportunities | new recycling opportunity identification,skill/competence,cross-sector,"Investigate ideas and spot opportunities to improve the collection, process and recycling of waste materials.",show entrepreneurial spirit | circular economy | identifying opportunities
types of vehicle engines,varieties of  vehicle engines | type of vehicle engine | a type of vehicle engine | brands of  vehicle engines | kinds of  vehicle engines | categories of  vehicle engines | types of vehicle engines | types of a vehicle engine | vehicle engines varieties,knowledge,cross-sector,"Types of car engines in road and racing cars, inclusing those with emerging technologies like Hybrids and electric motors, and how they work.","motor vehicles, ships and aircraft"
promote environmental awareness,promoting environmental awareness | endorse environmental awareness | promotion of environmental awareness | environmental awareness promotion | stimulate environmental awareness | promote environmental awareness | encourage environmental awareness | advocate environmental awareness,skill/competence,cross-sector,Promote sustainability and raise awareness about the environmental impact of human and industrial activity based on the carbon footprints of business processes and other practices.,advising on environmental issues | adopt ways to reduce negative impact of consumption
perform water treatment procedures,water treatment procedure operations | perform water treatment procedures | complete water treatment procedures | implement water treatment procedures | perform a water treatment procedure | performing water treatment procedures | undertake water treatment procedures,skill/competence,sector-specific,"Perform operations such as filtering, sterilising, and dechlorinating in order to purify water for consumption and food production using different procedures and technologies such as micro-filtration, reverse osmosis, ozonation, carbon filtration, or ultraviolet (UV) light.","operating petroleum, chemical or water processing systems or equipment"
geology,earth science | science of geology | geomorphology | geology | physical geography | geological science | processes of geology | geological processes | vulcanology,knowledge,cross-sector,"Solid earth, rock types, structures and the processes by which they are altered.",Earth science | earth sciences
aeroponics,,knowledge,sector-specific,The cultivation of plants without the use of an aggregate medium such as soil. The roots of plants are directly exposed to the surrounding air or mist and irrigated with nutrient solutions.,horticulture
regulation on the discharge of raw materials into the sea,legislation on discharging raw materials into the sea | legislation on discharging raw materials into the sea in an environmentally friendly manner | legal codes on the discharge of raw materials into the sea | regulation on the discharge of raw materials into the sea | regulation on the release of raw materials into the sea | regulation on the release of raw materials into the ocean | environmental requirements for discharging raw materials into the sea | regulation on the discharge of raw materials into the ocean | legal requirements for discharging raw materials into the sea,knowledge,occupation-specific,Know environmental regulations for the discharge of raw materials into the sea; ensure the use of chemical disinfection and dechlorination to produce a clean and safe effluent suitable for discharging at sea.,environmental protection technology
monitor grounds,grounds condition checking | checking condition of grounds | check condition of grounds | checking grounds | moniter condition of grounds | monitering grounds | monitor grounds | monitering condition of grounds | grounds condition monitering | check grounds | grounds checking | grounds monitering,skill/competence,occupation-specific,"Monitor grounds during special events to insure protection of the system, report condition of the grounds and loss of water or plants due to system malfunction.",monitoring environmental conditions
apply precision farming,precision farming applying | use precision farming methods | using precision farming methods | precision farming methods using | apply precision farming | applying precision farming,skill/competence,sector-specific,"Using modern technologies and equipment with high precision positioning systems, geo-mapping and/or automated steering systems for agricultural activities.",operating agricultural or forestry equipment
investigate complaints about improper waste handling,examine complaints about improper waste handling | investigate complaints about improper handling of waste | investigating complaints about improper waste handling | explore complaints about improper waste handling | follow up on complaints about improper waste handling | probe complaints about improper waste handling | investigate complaints about improper waste handling,skill/competence,cross-sector,Respond to and investigate accusations and complaints about improper industrial waste handling and disposal.,responding to complaints
conserve forests,forest conserving | forests conserving | conserving forests | forest restoring | restoring forests | conserve forests | restore forests | forests restoring,skill/competence,sector-specific,"Strive to conserve and restore forest structures, biodiversity and ecological functions.",complying with environmental protection laws and standards
communicate on the environmental impact of mining,communicate about the environmental impact of mining | communicate on the environmental impact of mining | lecture on the environmental impact of mining | communicating on the environmental impact of mining | lecture about the environmental impact of mining | communicating about the environmental impact of mining | communication about the environmental impact of mining | lecturing about the environmental impact of mining | lecturing on the environmental impact of mining,skill/competence,sector-specific,"Prepare talks, lectures, consultations with stakeholders and public hearings on environmental issues related to mining.",assess environmental impact | advising on environmental issues
maintain biogas plant,maintain biogas plant | maintaining biogas plant | repair biogas plant | biogas plant repairing | biogas plant maintaining | repairing biogas plant,skill/competence,occupation-specific,"Perform routine maintenance and repairs on equipment which treats energy crops and waste from farms, called anaerobic digesters. Ensure the equipment functions correctly in the transformation of biomass to biogas which is used for the generation of heat and electricity.",installing wooden and metal components
